"","Site.Number","O4","O5","O6","O7","O8","O9"
"25",39,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"26",43,-17.0795669555664,-15.3202648162842,-14.4934377670288,-12.8885440826416,-13.6477403640747,-13.7289848327637
"27",43,-17.0795669555664,-15.3202648162842,-14.4934377670288,-12.8885440826416,-13.6477403640747,-13.7289848327637
"28",43,-17.0795669555664,-15.3202648162842,-14.4934377670288,-12.8885440826416,-13.6477403640747,-13.7289848327637
"29",47,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"30",47,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"31",47,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"32",48,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"33",48,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"34",48,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"35",49,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"36",49,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"37",49,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"38",51,-16.3116436004639,-14.5764436721802,-13.74729347229,-12.2753438949585,-13.0378313064575,-13.1232481002808
"39",51,-16.3116436004639,-14.5764436721802,-13.74729347229,-12.2753438949585,-13.0378313064575,-13.1232481002808
"40",51,-16.3116436004639,-14.5764436721802,-13.74729347229,-12.2753438949585,-13.0378313064575,-13.1232481002808
"41",59,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"42",59,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"43",59,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"44",62,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"45",62,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"46",62,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"47",63,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"48",63,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"49",64,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"50",64,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"51",64,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"52",68,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"53",68,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
