"","Site.Number","date","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","EI"
"18","36","2020-06-04","0.000800254498313272","-0.0516675032492018","-0.00622202238077962","-0.0863255828853067","-0.0469980224754246","-0.266522068499135","3.55052647274115","-78.351186697209","-19.8565484558886","-148.852387647109","0.073923392740173"
"19","36","2020-10-08","0.00498736453742474","-0.0336741316112876","-0.00499109464016989","-0.0823613518738976","-0.0378355339498055","-0.217475437594575","3.87617833407467","-67.2908383561842","-18.7425268640566","-139.940214912453","0.194236047763523"
"20","38","2020-05-08","0.00503041352868268","-0.0278573022954676","-0.00481177872871368","-0.0789798356540796","-0.0413642052117455","-0.240317720991276","3.89166452886319","-69.5351161913728","-19.3594502567155","-144.875602053724","0.153474600366424"
"21","38","2020-06-02","0.000800254498313272","-0.0516675032492018","-0.00622202238077962","-0.0863255828853067","-0.040225185158198","-0.240929423878413","4.81065271821496","-58.0034635365005","-21.3220629577974","-160.576503662379","0.248539731211633"
"22","38","2020-10-07","0.00498736453742474","-0.0336741316112876","-0.00499109464016989","-0.0823613518738976","-0.0378803105298759","-0.220884328536844","4.76190440310103","-56.3114336520893","-20.4785287116273","-153.828229693018","0.266376306653703"
"23","39","2020-05-06","0.00503041352868268","-0.0278573022954676","-0.00481177872871368","-0.0789798356540796","-0.0423875951741028","-0.244483500823393","4.2538996508059","-64.0433075242507","-19.7654362196089","-148.123489756871","0.148505583352715"
"24","39","2020-06-05","0.000800254498313272","-0.0516675032492018","-0.00622202238077962","-0.0863255828853067","-0.0381829937533854","-0.227148769082639","4.06902175814689","-66.6543692936624","-19.5000746830709","-146.000597464567","0.218385811289082"
"25","39","2020-10-07","0.00498736453742474","-0.0336741316112876","-0.00499109464016989","-0.0823613518738976","-0.0353056571758312","-0.209119497601939","3.71807450166378","-69.7078507333543","-18.6149550626991","-138.919640501593","0.251392233855073"
"26","43","2020-05-07","0.00459769253784041","-0.0311992028095447","-0.00523890614158733","-0.0821388237766043","-0.03618483533164","-0.21251696214558","4.41607317944078","-58.9266641521571","-19.2321628211712","-143.857302569369","0.258083383778499"
"27","43","2020-06-09","0.000369354824102219","-0.0549275522789285","-0.00664870566159374","-0.089460237036612","-0.0457463123773962","-0.25171589749403","4.09251565029395","-65.3987515893646","-19.2959830011953","-144.367864009563","0.0645764191887695"
"28","43","2020-10-09","0.00455466208154609","-0.0369960358172848","-0.00541812342487279","-0.0855086645460205","-0.0355084263947563","-0.209548200807734","4.19021032029323","-64.1125943272883","-19.4531983542442","-145.625586833954","0.275761492736815"
"29","47","2020-05-09","0.00532254721462103","-0.0258145368207972","-0.00449138637926362","-0.0767554295274358","-0.0298651183665859","-0.188730991563041","7.50022950960597","-27.5126704774994","-75.0597948428763","-590.47835874301","3.29238676816104"
"30","47","2020-06-06","0.00109115859763115","-0.0496747701993679","-0.0059057820691156","-0.0841536307668729","-0.0255895773210904","-0.170880262214664","9.42989973792036","-13.1220254189951","16.1703823043031","139.363058434425","-1.55263071934979"
"31","47","2020-10-09","0.00527948571024874","-0.031643589052169","-0.00467026276045053","-0.0801419980501812","-0.0294883773075599","-0.182354837550051","6.72823702446501","-35.1855704992337","-35.5298678829877","-274.238943063902","1.31403327208131"
"32","48","2020-05-09","0.00532254721462103","-0.0258145368207972","-0.00449138637926362","-0.0767554295274358","-0.0272043044644569","-0.171293330255738","6.42059957844977","-37.6530157855211","-30.1715860875535","-231.372688700428","1.16282002031319"
"33","48","2020-06-06","0.00109115859763115","-0.0496747701993679","-0.0059057820691156","-0.0841536307668729","-0.0217895502766922","-0.14833664748778","8.56703873285369","-24.2897794330553","60.4716705338411","493.773364270729","-4.86342535492364"
"34","48","2020-10-09","0.00527948571024874","-0.031643589052169","-0.00467026276045053","-0.0801419980501812","-0.0329361739729762","-0.199191433057601","4.63041262733998","-57.6574351236616","-20.0788487256977","-150.630789805582","0.391978649957691"
"35","49","2020-05-10","0.00532254721462103","-0.0258145368207972","-0.00449138637926362","-0.0767554295274358","-0.0393485320177639","-0.228379167452634","4.49663274244037","-58.188219128254","-19.4636228848449","-145.708983078759","0.20551037037227"
"36","49","2020-06-09","0.00109115859763115","-0.0496747701993679","-0.0059057820691156","-0.0841536307668729","-0.0338358945126754","-0.20718052362792","4.69937714014328","-56.9137359194205","-20.2730632248985","-152.184505799188","0.366693215651135"
"37","49","2020-10-09","0.00527948571024874","-0.031643589052169","-0.00467026276045053","-0.0801419980501812","-0.0404922218598463","-0.235639544443391","3.8517462300984","-71.3732684205578","-19.6162705885971","-146.930164708777","0.175750448005279"
