"","Site.Number","date","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","EI"
"19","36","2020-10-08","0.000885684619550399","-0.0511466980909692","-0.00618932285950637","-0.0861302981028252","-0.0378484376061744","-0.22096339739203","4.01582744500549","-65.3161999276223","-18.9038498930492","-141.230799144393","0.200934788372917"
"20","38","2020-05-08","0.00330325893882268","-0.0358581106837946","-0.00530109058044514","-0.0806673300775962","-0.0415245407201559","-0.242451222137688","3.94430806203593","-68.7259850865078","-19.4112339622194","-145.289871697756","0.154513665732432"
"21","38","2020-06-02","-0.000621906768484208","-0.05759100699222","-0.0067007968190196","-0.0878259196854773","-0.0403870691634073","-0.243954968515223","4.90784397075794","-56.5387913606779","-21.5185749785685","-162.148599828548","0.254712539470765"
"22","38","2020-10-07","0.000885684619550399","-0.0511466980909692","-0.00618932285950637","-0.0861302981028252","-0.0378999948206461","-0.224888505587993","4.95340505599563","-53.5997844071019","-20.8756942015757","-157.005553612606","0.28288524291232"
"23","39","2020-05-06","0.00330325893882268","-0.0358581106837946","-0.00530109058044514","-0.0806673300775962","-0.0426048293785325","-0.246848612058891","4.30763927035705","-63.1931467429514","-19.8228591684836","-148.582873347869","0.14944501276875"
"24","39","2020-06-05","-0.000621906768484208","-0.05759100699222","-0.0067007968190196","-0.0878259196854773","-0.0382127699123847","-0.22928285338907","4.14892263743045","-65.5133847374932","-19.6083790659319","-146.867032527456","0.222639464025207"
"25","39","2020-10-07","0.000885684619550399","-0.0511466980909692","-0.00618932285950637","-0.0861302981028252","-0.0349354549885226","-0.21134209559461","3.86731644246385","-67.7662130835454","-18.8173645528061","-140.538916422449","0.264868599344739"
"26","43","2020-05-07","0.00287128158323303","-0.039172507102301","-0.00572807873648958","-0.0838208948177069","-0.0360341899474889","-0.212952258683492","4.46775664714642","-58.2374651103025","-19.318449578276","-144.547596626208","0.26359749366025"
"27","43","2020-06-09","-0.00105219412387961","-0.0608306930029673","-0.00712734644121828","-0.0909557960477937","-0.0462385523768957","-0.255260008203579","4.1460949277194","-64.4627216127421","-19.3213689014602","-144.570951211682","0.0643539124668312"
"28","43","2020-10-09","0.000454748162963203","-0.054408537474139","-0.00661601689128248","-0.0892656041105595","-0.0351061913180957","-0.211416365661569","4.359702927192","-61.8515629512587","-19.7378294996773","-147.902635997419","0.293934267423184"
"29","47","2020-05-09","0.00359489059016613","-0.0338321573244481","-0.00498247952139504","-0.0784616948869051","-0.0294016636657989","-0.188089596421108","7.76072473977785","-24.8686438912548","-145.726072385763","-1155.8085790861","7.04230422571827"
