"","Site.Number","H4","H5","H6","H7","H8","H9"
"46",62,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"47",63,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"48",63,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"49",64,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"50",64,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"51",64,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"52",68,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"53",68,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"54",68,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"55",69,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"56",69,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"57",69,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"58",70,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"59",70,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"60",70,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"61",71,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"62",71,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"63",71,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"64",80,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"65",80,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"66",80,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"67",110,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"68",110,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"69",110,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"70",125,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"71",125,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"72",125,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"73",126,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"74",126,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"75",126,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"76",127,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"77",127,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"78",127,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"79",128,-138.321090698242,-126.490180969238,-119.984886169434,-107.121246337891,-111.060691833496,-110.15892791748
"80",128,-138.321090698242,-126.490180969238,-119.984886169434,-107.121246337891,-111.060691833496,-110.15892791748
"81",128,-138.321090698242,-126.490180969238,-119.984886169434,-107.121246337891,-111.060691833496,-110.15892791748
"82",129,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"83",129,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"84",129,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"85",130,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"86",130,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"87",131,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"88",131,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"89",131,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"90",132,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"91",132,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"92",132,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"93",133,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"94",133,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"95",134,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"96",134,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"97",134,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"98",135,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"99",135,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"100",135,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"101",136,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"102",136,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"103",136,-129.081909179688,-117.609794616699,-111.100967407227,-100.289161682129,-104.505195617676,-103.356803894043
"104",137,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
